"","VK1rep1","VK3rep1","VK5rep1","unenriched1","unenriched2","unenriched3"
"48089011",3.10723250595386,3.40412364521571,6.16095464586827,4.10714661365223,1.68674821564156,1.6936896445322
"48091735",9.32169751786157,7.94295517216999,3.69657278752096,16.4285864546089,9.27711518602857,15.2432068007898
"48099247",8.28595334921029,6.80824729043142,4.92876371669461,11.5000105182262,18.5542303720571,11.8558275117254
"48099744",4.14297667460514,1.13470788173857,4.92876371669461,0,0,0
"48102552",54.8944409385182,65.8130571408371,66.5383101753773,128.14297434595,123.975993849654,118.558275117254
"48104327",4.14297667460514,3.40412364521571,4.92876371669461,2.46428796819134,1.68674821564156,2.54053446679829
"48106038",1.03574416865129,1.13470788173857,2.46438185834731,4.92857593638268,3.37349643128311,1.6936896445322
"48118740",0,0,0,5.75000525911312,2.53012232346234,3.38737928906439
"48121119",12.4289300238154,9.07766305390856,6.16095464586827,17.2500157773394,16.0241080485948,15.2432068007898
"48135886",23.8221158789796,27.2329891617257,14.7862911500838,4.92857593638268,4.21687053910389,5.08106893359659
"48145362",20.7148833730257,35.1759443338957,32.036964158515,34.5000315546787,34.5783384206519,29.6395687793134
"48148531",30.0365808908873,30.6371128069414,18.4828639376048,49.2857593638268,39.6385830675766,54.1980686250303
"48148608",0,0,1.23219092917365,5.75000525911312,5.90361875474545,5.08106893359659
"48159790",17.6076508670719,18.1553261078171,18.4828639376048,4.92857593638268,7.59036697038701,4.23422411133049
"48172561",9.32169751786157,7.94295517216999,7.39314557504192,0,0,0
"48193770",4.14297667460514,4.53883152695428,4.92876371669461,4.10714661365223,2.53012232346234,3.38737928906439
"48225264",9.32169751786157,6.80824729043142,12.3219092917365,8.21429322730446,8.43374107820779,6.77475857812878
"48239248",51.7872084325643,48.7924389147585,34.5013460168623,79.6786443048533,66.6265545178415,71.1349650703522
"48242367",4.14297667460514,3.40412364521571,3.69657278752096,3.28571729092178,2.53012232346234,1.6936896445322
"48243224",0,0,6.16095464586827,3.28571729092178,1.68674821564156,3.38737928906439
"48243297",0,0,3.69657278752096,4.10714661365223,4.21687053910389,1.6936896445322
"48249687",3.10723250595386,4.53883152695428,9.85752743338923,4.10714661365223,9.27711518602857,12.7026723339915
"48253151",0,0,0,4.92857593638268,5.90361875474545,5.08106893359659
"48254578",5.17872084325643,7.94295517216999,9.85752743338923,6.57143458184357,6.74699286256623,4.23422411133049
"48256877",0,0,0,9.03572255003491,9.27711518602857,11.8558275117254
"48262885",4.14297667460514,4.53883152695428,4.92876371669461,2.46428796819134,0.843374107820779,0
"48275579",0,1.13470788173857,0,16.4285864546089,11.8072375094909,12.7026723339915
"48275784",12.4289300238154,5.67353940869285,13.5541002209102,9.85715187276536,10.9638634016701,5.92791375586268
"48276672",4.14297667460514,0,2.46438185834731,13.1428691636871,10.9638634016701,17.7837412675881
"48285846",23.8221158789796,4.53883152695428,0,4.10714661365223,11.8072375094909,10.1621378671932
"48287227",0,0,0,6.57143458184357,4.21687053910389,5.92791375586268
"48287926",3.10723250595386,2.26941576347714,7.39314557504192,4.92857593638268,0.843374107820779,3.38737928906439
"48288243",4.14297667460514,5.67353940869285,9.85752743338923,0,0,0
"48292769",4.14297667460514,10.2123709356471,8.62533650421557,5.75000525911312,4.21687053910389,6.77475857812878
"48300757",1.03574416865129,0,2.46438185834731,13.1428691636871,7.59036697038701,11.0089826894593
"48304770",0,2.26941576347714,3.69657278752096,4.10714661365223,1.68674821564156,5.08106893359659
"48306366",19.6791392043744,14.7512024626014,16.0184820792575,36.9643195228701,37.951834851935,43.189085935571
"48307887",5.17872084325643,6.80824729043142,2.46438185834731,25.4643090046438,31.2048419893688,21.1711205566524
"48308637",7.250209180559,7.94295517216999,6.16095464586827,12.3214398409567,11.8072375094909,12.7026723339915
