,count,organism_name
1239,2894,firmicutes
976,1613,bacteroidetes
7711,1060,chordata
1224,432,proteobacteria
201174,109,actinobacteria
1117,1,cyanobacteria
203691,1,spirochaetes
1293497,1,nitrospinae
