,Neg1rep1,VK1rep1,VK3rep1,VK5rep1,unenriched1,unenriched2,unenriched3
4427266,0,1,7,5,0,0,0
4449485,0,4,4,4,2,3,5
4493173,0,8,5,5,0,0,0
4494265,0,6,0,0,119,44,119
4501661,5,30,39,12,17,23,43
4510354,4,15,10,15,37,31,31
4543087,0,7,8,6,0,0,0
4557438,0,12,13,10,0,0,0
4610597,6,8,6,8,12,9,10
4627267,0,3,3,2,5,1,4
4663007,3,6,4,3,9,11,8
4672299,0,4,8,0,5,5,6
4679153,4,2,2,2,3,4,5
4681425,0,3,6,0,6,5,7
4693399,1,9,6,5,6,7,3
4694640,0,2,6,4,0,0,0
4706576,25,82,67,62,70,67,88
4737878,0,29,44,17,0,0,0
4739263,0,7,4,1,4,3,4
4745251,0,0,0,0,0,8,5
4758947,0,6,5,5,5,4,6
4761588,0,0,0,0,11,10,9
4763573,0,2,5,7,0,2,0
4774708,0,5,3,4,4,0,3
4776583,6,12,12,11,14,11,14
4778236,0,4,3,4,4,4,5
4791570,6,14,13,9,17,21,18
4816499,18,120,118,98,306,244,267
4841345,2,4,5,1,8,5,6
4854118,2,6,5,3,19,11,15
4856590,0,7,8,7,7,5,4
4902052,0,8,7,3,20,16,21
4902509,2,5,8,6,0,0,0
4903439,0,10,7,12,8,9,11
4911614,0,3,11,14,0,0,0
4936393,4,2,2,2,3,4,5
4939223,0,0,0,0,6,4,8
4946524,0,0,0,0,4,6,1
4974470,2,6,4,3,9,5,7
4993614,0,4,2,4,5,7,5
5011912,0,2,4,4,9,7,6
5017696,0,0,0,0,12,13,15
5053713,2,10,5,1,13,7,11
5053794,0,8,5,0,0,0,0
5086275,0,4,5,4,8,9,11
5089496,0,2,2,1,7,5,5
5090162,0,4,6,7,8,8,4
5097201,4,2,2,2,3,4,5
5107176,12,17,20,18,24,25,24
5109793,0,2,2,0,7,6,6
5138993,0,4,2,6,4,4,5
5139963,4,2,2,2,3,4,5
5141220,4,8,12,8,0,0,0
5165637,4,2,2,2,3,4,5
5165836,4,9,7,8,0,0,0
5200631,0,9,12,0,10,10,11
5201609,0,0,0,0,18,10,11
5223761,4,2,2,2,5,4,5
5224748,4,2,2,2,3,4,5
5245426,0,10,10,5,10,10,12
5245682,0,7,4,5,0,0,0
5245716,0,11,8,7,3,1,2
5248047,3,9,10,6,15,10,14
5250429,0,3,6,0,6,6,7
5268480,0,7,10,3,6,6,7
5271398,2,12,12,12,6,9,6
5325890,2,12,5,9,15,13,12
5337198,0,7,9,10,6,9,10
5341593,7,20,13,18,16,21,14
5367232,32,70,51,61,125,117,148
5377188,0,5,3,8,1,3,0
5378971,15,0,0,5,0,0,0
