"","VK1rep1","VK3rep1","VK5rep1","unenriched1","unenriched2","unenriched3"
"4672299",4,8,0,5,5,6
"4679153",0,0,0,3,4,5
"4681425",3,6,0,6,5,7
"4693399",8,5,4,6,7,3
"4694640",2,6,4,0,0,0
"4706576",57,42,37,70,67,88
"4737878",29,44,17,0,0,0
"4739263",7,4,1,4,3,4
"4745251",0,0,0,0,8,5
"4758947",6,5,5,5,4,6
"4761588",0,0,0,11,10,9
"4763573",2,5,7,0,2,0
"4774708",5,3,4,4,0,3
"4776583",6,6,5,14,11,14
"4778236",4,3,4,4,4,5
"4791570",8,7,3,17,21,18
"4816499",102,100,80,306,244,267
"4841345",2,3,0,8,5,6
"4854118",4,3,1,19,11,15
"4856590",7,8,7,7,5,4
"4902052",8,7,3,20,16,21
"4902509",3,6,4,0,0,0
"4903439",10,7,12,8,9,11
"4911614",3,11,14,0,0,0
"4936393",0,0,0,3,4,5
"4939223",0,0,0,6,4,8
"4946524",0,0,0,4,6,1
"4974470",4,2,1,9,5,7
"4993614",4,2,4,5,7,5
"5011912",2,4,4,9,7,6
"5017696",0,0,0,12,13,15
"5053713",8,3,0,13,7,11
"5053794",8,5,0,0,0,0
"5086275",4,5,4,8,9,11
"5089496",2,2,1,7,5,5
"5090162",4,6,7,8,8,4
"5097201",0,0,0,3,4,5
"5107176",5,8,6,24,25,24
"5109793",2,2,0,7,6,6
"5138993",4,2,6,4,4,5
"5139963",0,0,0,3,4,5
"5141220",4,8,4,0,0,0
"5165637",0,0,0,3,4,5
"5165836",5,3,4,0,0,0
"5200631",9,12,0,10,10,11
"5201609",0,0,0,18,10,11
"5223761",0,0,0,5,4,5
"5224748",0,0,0,3,4,5
"5245426",10,10,5,10,10,12
"5245682",7,4,5,0,0,0
"5245716",11,8,7,3,1,2
"5248047",6,7,3,15,10,14
"5250429",3,6,0,6,6,7
"5268480",7,10,3,6,6,7
"5271398",10,10,10,6,9,6
"5325890",10,3,7,15,13,12
"5337198",7,9,10,6,9,10
"5341593",13,6,11,16,21,14
"5367232",38,19,29,125,117,148
"5377188",5,3,8,1,3,0
"5378971",0,0,0,0,0,0
"5465314",0,0,0,3,4,5
"5484467",2,1,3,0,0,0
"5495963",12,6,5,6,7,3
"5518117",43,45,28,0,0,0
"5530660",4,0,6,0,0,0
"5531737",12,12,6,23,27,24
"5531991",0,1,0,7,5,8
"5535467",8,6,9,9,8,8
"5536222",7,9,3,5,5,6
"5561115",1,1,0,16,8,0
"5562437",0,0,0,3,4,5
"5570630",0,0,0,4,4,2
"5596497",0,0,0,7,5,5
"5599883",6,6,6,4,4,4
"5617910",0,0,0,4,2,4
"5619178",6,5,8,4,4,4
"5640570",25,17,14,3,2,4
"5661931",0,0,0,3,4,5
"5673713",0,0,0,3,4,5
"5673728",10,10,4,18,19,11
"5677557",6,0,5,1,2,3
"5681276",5,4,2,4,6,5
"5710574",16,12,9,41,36,36
"5710678",2,4,4,8,7,5
"5711881",6,6,5,17,21,19
"5720955",3,6,2,9,2,6
"5730052",23,24,9,3,0,4
"5730072",1,0,0,0,0,0
"5730235",0,0,0,3,4,5
"5750132",3,6,0,6,6,7
"5750316",9,5,6,0,0,0
"5753625",20,21,7,23,22,30
"5771016",10,11,0,0,0,0
"5787217",0,0,0,3,4,5
"5798015",7,9,9,7,5,4
"5813004",4,1,0,0,0,0
"5828397",21,13,26,25,22,17
"5830787",8,7,3,16,17,17
"5830793",1,0,0,5,2,5
"5830831",0,0,0,8,8,8
"5832385",6,6,6,4,4,4
"5839448",4,0,6,0,0,0
"5863982",6,8,4,0,0,0
"5887279",4,2,6,4,5,4
"5889071",6,0,0,119,44,119
"5908273",8,7,5,13,14,14
"5913606",0,0,0,3,4,5
"5957427",6,0,0,8,7,10
"5973164",9,9,12,9,7,6
"5996052",4,5,3,5,4,4
"6023174",8,6,9,9,8,8
"6024641",6,6,6,4,4,4
"6028622",4,7,1,15,10,14
"6029751",0,0,0,3,4,5
"6029954",7,7,5,16,14,15
"6060948",2,4,2,15,10,17
"6061133",0,0,0,3,4,5
"6085738",2,3,5,15,13,12
"6086135",0,0,0,3,4,5
"6099893",4,2,6,4,5,4
"6101228",2,3,0,8,5,6
"6102039",3,6,0,6,6,7
"6107407",14,12,14,22,19,26
"6116393",2,0,2,10,15,14
"6125354",3,6,0,6,6,7
"6125619",7,6,6,0,0,0
"6130446",0,2,0,5,5,0
"6131197",0,0,0,8,7,13
"6131330",0,0,0,7,7,0
"6155443",28,31,15,0,0,0
"6167382",2,1,2,4,4,4
"6167909",17,13,21,14,16,12
"6168952",6,6,2,9,8,11
"6171668",5,6,2,2,3,4
"6176730",10,2,0,58,58,67
"6199567",7,9,0,0,0,0
"6200148",4,4,7,0,0,0
"6211961",5,4,4,0,0,0
"6216151",1,1,0,4,2,8
"6216247",0,0,0,15,13,13
"6217568",6,6,6,4,4,4
"6217842",2,3,0,8,5,6
"6240492",1,1,0,6,6,13
"6243636",0,2,1,0,0,0
"6243639",9,7,5,13,15,14
"6274709",0,0,0,3,4,5
"6293769",6,2,6,4,5,4
"6315634",0,0,0,3,4,5
"6340840",8,0,4,0,0,0
"6343409",4,7,1,15,10,14
"6356194",35,24,12,157,66,152
"6362196",0,0,0,5,0,4
"6362860",30,18,18,24,24,23
"6362974",6,7,3,7,8,9
"6384290",6,1,2,3,5,4
"6384870",4,2,1,8,3,5
"6454255",0,0,0,0,0,0
"6464342",0,0,0,3,4,5
"6518766",0,0,0,6,6,4
"6528912",0,0,0,3,4,5
"6529234",7,9,3,5,5,6
"6561651",0,0,0,28,25,26
"6569127",1,5,3,17,19,19
"6579186",8,7,3,14,17,16
"6595978",2,2,4,2,8,3
"6615335",8,6,4,16,9,14
"6620919",6,4,7,0,0,0
"6634189",0,0,0,3,4,5
"6637923",2,3,0,10,8,8
"6649709",4,2,5,7,4,5
"6652731",5,6,0,0,0,0
"6662432",9,12,5,0,0,0
"6700673",7,7,3,9,12,9
"6702548",14,6,11,7,8,6
"6702801",4,7,1,15,10,14
"6718235",0,0,0,3,4,5
"6741001",7,6,3,2,5,4
"6741139",4,5,4,5,14,12
"6742004",6,5,8,10,8,8
"6742909",8,8,6,10,0,11
"6743157",9,12,12,26,21,30
"6743301",0,1,0,17,22,18
"6743409",0,0,0,7,6,4
"6750655",4,4,4,11,9,9
"6760334",0,0,0,3,6,8
"6762442",14,8,4,7,3,8
"6769147",2,2,0,10,3,6
"6850791",0,0,0,24,24,28
"6851580",10,10,5,11,12,12
"6852416",4,6,1,15,8,13
"6852624",4,4,6,4,2,3
