"","VK1rep1","VK3rep1","VK5rep1","unenriched1","unenriched2","unenriched3"
"86769",7.25866617822184,7.56230187182396,7.25866617822184,7.62371769699081,7.64355125642969,7.64433772349272
"187020",7.25866617822184,7.25866617822184,7.25866617822184,7.44155677366296,7.47259963490903,7.49828683401678
"202956",7.65096932709961,7.65017956310443,7.80445534062644,7.6527928891314,7.67191201064338,7.62929173551807
"209005",7.74555305218234,7.68728674624215,7.64574093179432,7.63853996291035,7.68536821681484,7.77049770379039
"374028",7.25866617822184,7.25866617822184,7.25866617822184,7.67981978792343,7.68536821681484,7.68623895522747
"566971",7.52360011868108,7.25866617822184,7.25866617822184,7.46980301415021,7.25866617822184,7.41032001249101
"640706",7.54880554530833,7.53593133228422,7.60026033168377,7.46980301415021,7.54147985314859,7.49828683401678
"642086",7.59350310692679,7.25866617822184,7.25866617822184,7.55699349236909,7.25866617822184,7.49828683401678
"645785",7.88164418862954,7.75299509946825,7.60026033168377,7.85218998356097,7.73530365495256,7.77049770379039
"651398",7.49569671758457,7.53593133228422,7.25866617822184,7.25866617822184,7.47259963490903,7.41032001249101
"678725",7.49569671758457,7.38281553002415,7.44156025306615,7.6527928891314,7.73530365495256,7.69929823492045
"733338",7.65096932709961,7.73744285458943,7.64574093179432,7.25866617822184,7.25866617822184,7.25866617822184
"900503",7.78633282179988,7.73744285458943,7.72325860776794,7.75186284921584,7.67191201064338,7.69929823492045
"996140",7.25866617822184,7.25866617822184,7.25866617822184,7.63853996291035,7.57920077882591,7.72428643884798
"1026553",7.25866617822184,7.25866617822184,7.25866617822184,7.25866617822184,7.5205604624675,7.25866617822184
"1053863",7.54880554530833,7.56230187182396,7.25866617822184,7.49467181559862,7.5205604624675,7.44436074983428
"1385693",7.61371534255817,7.66916390247157,7.57502595281593,7.6527928891314,7.59646252531307,7.59715370919788
"1488186",7.59350310692679,7.53593133228422,7.44156025306615,7.53778774910904,7.61286953799836,7.54205932318509
"1586831",7.25866617822184,7.25866617822184,7.25866617822184,7.44155677366296,7.47259963490903,7.49828683401678
"1654966",7.49569671758457,7.56230187182396,7.38803508891605,7.66653619143971,7.56093786377759,7.64433772349272
"1800596",7.25866617822184,7.25866617822184,7.25866617822184,7.25866617822184,7.25866617822184,7.25866617822184
"1808422",7.54880554530833,7.25866617822184,7.25866617822184,8.3826657209399,7.96187151546826,8.3945137118906
"1809293",7.65096932709961,7.68728674624215,7.74063805971936,7.55699349236909,7.49779642185464,7.47303857370642
"1813814",7.49569671758457,7.56230187182396,7.60026033168377,7.55699349236909,7.56093786377759,7.47303857370642
"1815477",7.52360011868108,7.53593133228422,7.62372461434459,7.55699349236909,7.56093786377759,7.52109731439774
"1818671",7.52360011868108,7.4735667839026,7.48258994740854,7.49467181559862,7.54147985314859,7.62929173551807
"1837890",7.42636622439863,7.43418578674623,7.25866617822184,7.59205850025815,7.5205604624675,7.54205932318509
"1849115",7.25866617822184,7.25866617822184,7.25866617822184,7.44155677366296,7.47259963490903,7.49828683401678
"1958375",7.68490787096256,7.68728674624215,7.66654391001096,7.53778774910904,7.56093786377759,7.65880548848324
"1963894",7.49569671758457,7.50673578412881,7.25866617822184,7.63853996291035,7.5205604624675,7.56155692048512
"1967039",7.68490787096256,7.66916390247157,7.75739073194778,7.66653619143971,7.7233394891204,7.68623895522747
"2008440",7.68490787096256,7.58652985521382,7.25866617822184,8.39606254088936,8.12208557861904,8.40815178867253
"2011663",7.49569671758457,7.58652985521382,7.60026033168377,7.53778774910904,7.49779642185464,7.47303857370642
"2011772",7.59350310692679,7.56230187182396,7.64574093179432,7.57501995031687,7.56093786377759,7.56155692048512
"2022201",7.61371534255817,7.58652985521382,7.70517911882615,7.55699349236909,7.59646252531307,7.61359396500449
