"","Neg1rep1","VK1rep1","VK3rep1","VK5rep1","unenriched1","unenriched2","unenriched3"
"86769",6.40129207828574,6.40129207828574,6.77692577038088,6.40129207828574,6.85241127803061,6.8811304441249,6.85945996695803
"187020",6.91191311402671,6.61384932091866,6.61857199476462,6.63618096730903,6.6275398209895,6.66830577294342,6.68616826770367
"202956",6.65760009500354,6.9196275359123,6.90872077176755,7.11865507096427,6.88822944556709,6.91636034496452,6.84162654279803
"209005",7.074195361585,7.13049121642708,7.06573882215967,7.06063893933182,6.87067410496138,6.93306649497726,7.00877862458137
"374028",6.40129207828574,6.40129207828574,6.40129207828574,6.40129207828574,6.92150163773344,6.93306649497726,6.90909696703775
"566971",6.40129207828574,6.7369212674502,6.40129207828574,6.40129207828574,6.66245153313431,6.40129207828574,6.58163900392477
"640706",6.40129207828574,6.76879070462509,6.74435770381522,6.83952766958174,6.66245153313431,6.7541422531371,6.68616826770367
"642086",6.40129207828574,6.82526388610477,6.40129207828574,6.40129207828574,6.77012652376988,6.40129207828574,6.68616826770367
"645785",7.4073630035491,7.38028396499163,7.25856521222918,7.1889018597057,7.1331005597443,6.99500689770056,7.00877862458137
"651398",6.40129207828574,6.70162277768354,6.74435770381522,6.40129207828574,6.40129207828574,6.66830577294342,6.58163900392477
"678725",7.3446730952454,7.03444722198276,6.99274946412176,7.06063893933182,6.88822944556709,6.99500689770056,6.92455870707612
"733338",6.91191311402671,6.98004216437274,7.06573882215967,6.99657338813833,6.40129207828574,6.40129207828574,6.40129207828574
"900503",6.91191311402671,7.13049121642708,7.06573882215967,7.08056966389734,7.01007506055756,6.91636034496452,6.92455870707612
"996140",7.37659631581348,6.94055428314844,6.90872077176755,6.77207306517208,6.87067410496138,6.80110388751661,6.95413192527955
"1026553",7.074195361585,6.70162277768354,6.61857199476462,6.40129207828574,6.40129207828574,6.7280835971097,6.40129207828574
"1053863",6.40129207828574,6.76879070462509,6.77692577038088,6.40129207828574,6.69317797471126,6.7280835971097,6.62209931690876
"1385693",6.40129207828574,6.85078178831242,6.90872077176755,6.80724052292965,6.88822944556709,6.82258216699419,6.80351869890804
"1488186",6.40129207828574,6.82526388610477,6.74435770381522,6.63618096730903,6.74642190263969,6.84298933285208,6.73814431750189
"1586831",6.91191311402671,6.61384932091866,6.61857199476462,6.63618096730903,6.6275398209895,6.66830577294342,6.68616826770367
"1654966",6.84407475228005,6.79805846285427,6.86070456315166,6.73311028850387,6.90515132662581,6.77837139768163,6.85945996695803
"1800596",7.83770771162729,7.20113514788676,7.09920005295027,6.97352717177802,6.40129207828574,6.40129207828574,6.40129207828574
"1808422",6.40129207828574,6.76879070462509,6.40129207828574,6.40129207828574,7.77518686138974,7.27473974299886,7.73902420664109
"1809293",6.40129207828574,6.89778035542455,6.93103905119584,7.01871370889104,6.77012652376988,6.69971640864251,6.65617562967342
"1813814",6.40129207828574,6.70162277768354,6.77692577038088,6.83952766958174,6.77012652376988,6.77837139768163,6.65617562967342
"1815477",6.65760009500354,6.76879070462509,6.77692577038088,6.89766525716492,6.77012652376988,6.77837139768163,6.71325739235439
"1818671",6.97145054704635,6.8748852041918,6.83463187686963,6.8695310443977,6.69317797471126,6.7541422531371,6.84162654279803
"1837890",6.76329282794729,6.70162277768354,6.70828326357597,6.56747522203886,6.81338309842807,6.7280835971097,6.73814431750189
"1849115",6.91191311402671,6.61384932091866,6.61857199476462,6.63618096730903,6.6275398209895,6.66830577294342,6.68616826770367
"1958375",6.40129207828574,6.94055428314844,6.93103905119584,6.92423236761557,6.74642190263969,6.77837139768163,6.87660333570233
"1963894",6.76329282794729,6.76879070462509,6.77692577038088,6.56747522203886,6.87067410496138,6.7280835971097,6.76128614666545
"1967039",6.65760009500354,6.96066405640327,6.93103905119584,7.06063893933182,6.90515132662581,6.98017466641845,6.90909696703775
"2008440",6.91191311402671,7.01687774682818,6.90872077176755,6.6888128250997,7.79118471963991,7.47098154375176,7.75478884166102
"2011663",6.40129207828574,6.70162277768354,6.80683335251849,6.83952766958174,6.74642190263969,6.69971640864251,6.65617562967342
"2011772",6.40129207828574,6.82526388610477,6.77692577038088,6.89766525716492,6.79236789539416,6.77837139768163,6.76128614666545
"2022201",6.40129207828574,6.85078178831242,6.80683335251849,6.97352717177802,6.77012652376988,6.82258216699419,6.82301545712966
"2057470",6.97145054704635,6.8748852041918,6.83463187686963,6.8695310443977,6.69317797471126,6.7541422531371,6.84162654279803
"2105368",6.76329282794729,6.70162277768354,6.74435770381522,6.56747522203886,6.77012652376988,6.69971640864251,6.71325739235439
"2106886",6.91191311402671,6.61384932091866,6.61857199476462,6.63618096730903,6.6275398209895,6.66830577294342,6.68616826770367
"2114380",7.02507170913345,7.34750590426033,7.49452177853257,7.38006318077448,6.40129207828574,6.40129207828574,6.40129207828574
"2120552",6.40129207828574,6.76879070462509,6.40129207828574,6.40129207828574,7.77518686138974,7.27473974299886,7.73902420664109
"2159483",6.40129207828574,6.7369212674502,6.70828326357597,6.89766525716492,6.6275398209895,6.69971640864251,6.71325739235439
"2160032",6.40129207828574,6.66150313996677,6.40129207828574,6.80724052292965,6.69317797471126,6.66830577294342,6.65617562967342
"2163256",6.65760009500354,6.66150313996677,6.77692577038088,6.6888128250997,6.81338309842807,6.80110388751661,6.82301545712966
"2271726",6.76329282794729,6.76879070462509,6.70828326357597,6.6888128250997,6.77012652376988,6.63261502912921,6.68616826770367
"2287574",6.40129207828574,6.98004216437274,7.14637524776974,7.1719940778306,6.74642190263969,6.7541422531371,6.73814431750189
"2320559",6.40129207828574,6.85078178831242,6.77692577038088,6.83952766958174,6.79236789539416,6.80110388751661,6.82301545712966
"2342451",6.40129207828574,6.61384932091866,6.61857199476462,6.8695310443977,6.66245153313431,6.69971640864251,6.52885810051441
"2357132",6.40129207828574,6.96066405640327,7.03036975154683,6.99657338813833,6.83335117589725,6.84298933285208,6.80351869890804
"2399443",6.40129207828574,6.82526388610477,6.70828326357597,6.77207306517208,6.77012652376988,6.80110388751661,6.80351869890804
"2409733",7.074195361585,6.7369212674502,6.61857199476462,6.40129207828574,6.40129207828574,6.53494176197204,6.40129207828574
"2410456",6.76329282794729,6.70162277768354,6.70828326357597,6.56747522203886,6.81338309842807,6.7280835971097,6.73814431750189
"2429252",6.40129207828574,6.85078178831242,6.90872077176755,6.80724052292965,7.06223490305139,6.94924143935468,6.93955778865076
"2433827",6.40129207828574,6.85078178831242,6.88533057592603,6.73311028850387,6.88822944556709,6.80110388751661,6.84162654279803
"2433984",6.91191311402671,7.05151293623711,7.04831199500633,7.04004256868765,6.98212921997112,6.89906942688325,6.87660333570233
"2478382",6.91191311402671,6.98004216437274,7.06573882215967,6.99657338813833,6.40129207828574,6.40129207828574,6.40129207828574
"2481550",6.76329282794729,6.76879070462509,6.70828326357597,6.6888128250997,6.79236789539416,6.69971640864251,6.73814431750189
"2550329",6.84407475228005,6.79805846285427,6.86070456315166,6.73311028850387,6.90515132662581,6.77837139768163,6.85945996695803
"2569637",6.91191311402671,6.61384932091866,6.61857199476462,6.63618096730903,6.6275398209895,6.66830577294342,6.68616826770367
"2594166",6.40129207828574,6.66150313996677,6.74435770381522,6.40129207828574,6.7209285330646,6.69971640864251,6.71325739235439
"2596686",6.91191311402671,6.61384932091866,6.61857199476462,6.63618096730903,6.6275398209895,6.66830577294342,6.68616826770367
"2599458",6.91191311402671,6.61384932091866,6.61857199476462,6.63618096730903,6.6275398209895,6.66830577294342,6.68616826770367
"2609128",6.91191311402671,6.61384932091866,6.61857199476462,6.63618096730903,6.6275398209895,6.66830577294342,6.68616826770367
"2611346",6.91191311402671,6.61384932091866,6.61857199476462,6.63618096730903,6.6275398209895,6.66830577294342,6.68616826770367
"2647227",6.40129207828574,6.40129207828574,6.61857199476462,6.40129207828574,6.95268944841869,6.98017466641845,6.95413192527955
"2651164",6.40129207828574,6.40129207828574,6.40129207828574,6.40129207828574,6.69317797471126,6.66830577294342,6.58163900392477
"2717161",6.84407475228005,6.79805846285427,6.86070456315166,6.73311028850387,6.90515132662581,6.77837139768163,6.85945996695803
"2749207",6.76329282794729,6.70162277768354,6.74435770381522,6.56747522203886,6.77012652376988,6.69971640864251,6.71325739235439
"2752055",7.02507170913345,6.79805846285427,6.77692577038088,6.77207306517208,6.77012652376988,6.7280835971097,6.65617562967342
"2775482",6.84407475228005,6.85078178831242,6.93103905119584,6.80724052292965,7.01007506055756,6.9649309838349,6.96831393840635
"2786018",6.40129207828574,6.89778035542455,7.03036975154683,7.06063893933182,6.90515132662581,6.89906942688325,6.80351869890804
"3448425",6.76329282794729,6.70162277768354,6.70828326357597,6.56747522203886,6.81338309842807,6.7280835971097,6.73814431750189
"3475102",6.91191311402671,6.61384932091866,6.61857199476462,6.63618096730903,6.6275398209895,6.66830577294342,6.68616826770367
"3520520",7.11974732916902,6.8748852041918,6.99274946412176,6.89766525716492,6.40129207828574,6.40129207828574,6.40129207828574
"3543367",6.91191311402671,6.61384932091866,6.61857199476462,6.63618096730903,6.6275398209895,6.66830577294342,6.68616826770367
"3545035",6.91191311402671,6.85078178831242,6.88533057592603,6.73311028850387,7.18691934982408,7.00945784745526,7.05865901650338
"3557492",7.31146983206809,7.58957040416827,7.54249962755745,7.44318220271242,7.52731646167157,7.41587138346187,7.43154022009059
"3577546",6.84407475228005,6.70162277768354,6.66727923378681,6.73311028850387,6.66245153313431,6.69971640864251,6.65617562967342
"3585948",6.91191311402671,6.76879070462509,6.74435770381522,6.80724052292965,6.66245153313431,6.7280835971097,6.71325739235439
"3593277",6.40129207828574,6.66150313996677,6.74435770381522,6.40129207828574,6.74642190263969,6.69971640864251,6.73814431750189
"3595276",6.76329282794729,6.70162277768354,6.74435770381522,6.56747522203886,6.77012652376988,6.63261502912921,6.68616826770367
"3595283",6.91191311402671,6.61384932091866,6.61857199476462,6.63618096730903,6.6275398209895,6.66830577294342,6.68616826770367
"3607846",6.40129207828574,6.85078178831242,6.95241582448585,6.6888128250997,6.40129207828574,6.40129207828574,6.40129207828574
"3642000",6.91191311402671,6.70162277768354,6.70828326357597,6.73311028850387,6.40129207828574,6.40129207828574,6.40129207828574
"3642888",6.40129207828574,6.61384932091866,6.70828326357597,6.73311028850387,6.79236789539416,6.7541422531371,6.71325739235439
"3650534",7.37659631581348,6.94055428314844,7.0118665085158,6.89766525716492,6.92150163773344,6.94924143935468,6.84162654279803
"3675519",7.27683897576447,6.96066405640327,6.86070456315166,6.73311028850387,6.40129207828574,6.40129207828574,6.40129207828574
"3688105",6.40129207828574,6.40129207828574,6.66727923378681,6.73311028850387,6.40129207828574,6.40129207828574,6.76128614666545
"3691598",6.40129207828574,6.76879070462509,6.40129207828574,6.40129207828574,6.69317797471126,6.63261502912921,6.71325739235439
"3691661",6.40129207828574,6.96066405640327,7.03036975154683,7.01871370889104,6.74642190263969,6.7541422531371,6.78300049553218
"3691713",6.40129207828574,6.61384932091866,6.74435770381522,6.77207306517208,6.40129207828574,6.40129207828574,6.68616826770367
"3692115",6.40129207828574,6.76879070462509,6.80683335251849,6.80724052292965,6.66245153313431,6.66830577294342,6.65617562967342
