,count,organism_name
1239,12744,firmicutes
976,5716,bacteroidetes
7711,2021,chordata
1224,1168,proteobacteria
201174,1073,actinobacteria
4890,19,ascomycota
32066,7,fusobacteria
200918,3,thermotogae
1117,2,cyanobacteria
508458,2,synergistetes
5204,1,basidiomycota
5794,1,apicomplexa
28890,1,euryarchaeota
200783,1,aquificae
1293497,1,nitrospinae
