,count,organism_name
541000,3923,ruminococcaceae
815,3529,bacteroidaceae
9604,1974,hominidae
186806,1751,eubacteriaceae
186803,1640,lachnospiraceae
84107,351,coriobacteriaceae
31953,218,bifidobacteriaceae
31979,188,clostridiaceae
135621,73,pseudomonadaceae
128827,69,erysipelotrichaceae
31977,67,veillonellaceae
171550,44,rikenellaceae
1300,41,streptococcaceae
543,41,enterobacteriaceae
33958,17,lactobacillaceae
194924,16,desulfovibrionaceae
171552,11,prevotellaceae
49546,11,flavobacteriaceae
712,10,pasteurellaceae
4893,7,saccharomycetaceae
267894,6,psychromonadaceae
186822,5,paenibacillaceae
171551,5,porphyromonadaceae
84994,4,acidimicrobiaceae
415002,4,puniceicoccaceae
1570339,4,peptoniphilaceae
72293,4,helicobacteraceae
41297,4,sphingomonadaceae
2062,4,streptomycetaceae
649777,3,synergistaceae
2049,3,actinomycetaceae
267888,3,pseudoalteromonadaceae
481,2,neisseriaceae
82115,2,rhizobiaceae
1328881,2,candidatus midichloriaceae
213121,2,desulfobulbaceae
188709,2,thermotogaceae
186817,2,bacillaceae
43219,2,herpotrichiellaceae
186828,1,carnobacteriaceae
2259,1,thermococcaceae
213119,1,desulfobacteraceae
27994,1,theileriidae
186804,1,peptostreptococcaceae
972,1,halanaerobiaceae
641,1,vibrionaceae
589343,1,geminigeraceae
68298,1,syntrophomonadaceae
76892,1,caulobacteraceae
433,1,acetobacteraceae
